IMPR;HB;HB0.36;RC;RB;RA;SHORE;VIKERS;
2.05;8980;3233;-;-;-;-;-;
2.1;8570;3085;-;-;-;-;-;
2.15;8170;2941;-;-;-;-;-;
2.2;7800;2808;70;-;-;106;1150;
2.25;7450;2682;68;-;84.1;100;1050;
2.3;7120;2563;66;-;-;95;960;
2.35;6820;2455;64;-;82.2;91;885;
2.4;6530;2351;62;-;81.2;87;820;
2.45;6270;2257;60;-;80.5;84;765;
2.5;6010;2164;58;-;80.2;81;717;
2.55;5780;2081;57;-;79.4;78;675;
2.6;5550;1998;55;120;78.6;75;533;
2.65;5340;1922;53;119;77.9;72;598;
2.7;5140;1850;52;119;77;70;-;
2.75;4950;1782;50;117;76.5;67;-;
2.8;4770;1717;49;117;75.7;65;515;
2.85;4610;1660;47;116;75;63;567;
2.9;4440;1598;46;115;74.2;61;540;
2.95;4290;1544;45;115;73.4;59;454;
3;4150;1494;44;114;72.8;57;437;
3.05;4010;1444;42;113;72;55;420;
3.1;3880;1387;41;112;71.4;54;404;
3.15;3750;1350;40;112;70.6;52;389;
3.2;3630;1307;38;110;70;51;375;
3.25;3520;1267;37;110;69.3;49;363;
3.3;3410;1228;36;109;68.7;48;350;
3.35;3310;1192;35;109;68.1;46;339;
3.4;3210;1156;34;108;67.5;45;327;
3.45;3110;1120;33;108;66.9;44;316;
3.5;3020;1087;32;107;66.3;43;305;
3.55;2930;1055;31;106;65.7;42;296;
3.6;2850;1026;30;105;65.3;40;287;
3.65;2770;997;29;104;64.6;39;279;
3.7;2690;969;28;104;64.1;38;270;
3.75;2620;943;26;103;63.6;37;263;
3.8;2550;918;25;102;63;37;256;
3.85;2480;893;24;102;62.5;36;248;
3.9;2410;868;23;100;61.8;35;241;
3.95;2350;846;22;99;61.4;34;235;
4;2290;824;21;98;60.8;33;229;
4.05;2330;803;20;97;-;32;223;
4.1;2170;781;18;96;-;31;217;
4.15;2120;763;17;96;-;31;212;
4.2;2070;745;16;95;-;30;207;
4.25;2020;727;15;94;-;30;202;
4.3;1970;709;13;93;-;29;197;
4.35;1920;691;12;92;-;28;192;
4.4;1870;673;10;91;-;28;187;
4.45;1830;659;9;90;-;27;183;
4.5;1790;644;8;89;-;27;179;
4.55;1740;626;7;88;-;26;174;
4.6;1700;612;6;87;-;26;170;
4.65;1660;598;4;86;-;25;166;
4.7;1630;587;3;85;-;25;163;
4.75;1590;572;2;84;-;24;159;
4.8;1560;562;1;83;-;24;156;
4.85;1530;551;-;82;-;23;153;
4.9;1490;536;-;81;-;23;149;
4.95;1460;526;-;80;-;22;146;
5;1430;515;-;79;-;22;143;
5.05;1400;504;-;78;-;21;140;
5.1;1370;493;-;77;-;21;137;
5.15;1340;482;-;76;-;21;134;
5.2;1310;472;-;74;-;20;131;
5.25;1280;461;-;73;-;20;128;
5.3;1260;454;-;72;-;-;126;
5.35;1240;446;-;71;-;-;124;
5.4;1210;436;-;70;-;-;121;
5.45;1180;425;-;69;-;-;118;
5.5;1160;418;-;68;-;-;116;
5.55;1140;410;-;67;-;-;114;
5.6;1120;403;-;66;-;-;112;
5.65;1090;392;-;65;-;-;109;
5.7;1070;385;-;64;-;-;107;
5.75;1050;378;-;62;-;-;105;
5.8;1030;371;-;61;-;-;103;
5.85;1010;364;-;60;-;-;101;
5.9;990;356;-;59;-;-;99;
5.95;970;349;-;57;-;-;97;
6;950;342;-;56;-;-;95;
