numeroDentes;FatorQ;
10;5.2;
11;4.9;
12;4.5;
13;4.3;
14;4.1;
15;3.9;
16;3.7;
17;3.6;
18;3.5;
19;3.433333333;
20;3.366666667;
21;3.3;
22;3.266666667;
23;3.233333333;
24;3.2;
25;3.175;
26;3.15;
27;3.125;
28;3.1;
29;3.083333333;
30;3.066666667;
31;3.05;
32;3.033333333;
33;3.016666667;
34;3;
35;2.983333333;
36;2.966666667;
37;2.95;
38;2.933333333;
39;2.916666667;
40;2.9;
41;2.89;
42;2.88;
43;2.87;
44;2.86;
45;2.85;
46;2.84;
47;2.83;
48;2.82;
49;2.81;
50;2.8;
51;2.793333333;
52;2.786666667;
53;2.78;
54;2.773333333;
55;2.766666667;
56;2.76;
57;2.753333333;
58;2.746666667;
59;2.74;
60;2.733333333;
61;2.726666667;
62;2.72;
63;2.713333333;
64;2.706666667;
65;2.7;
66;2.693333333;
67;2.686666667;
68;2.68;
69;2.673333333;
70;2.666666667;
71;2.66;
72;2.653333333;
73;2.646666667;
74;2.64;
75;2.633333333;
76;2.626666667;
77;2.62;
78;2.613333333;
79;2.606666667;
80;2.6;
81;2.595;
82;2.59;
83;2.585;
84;2.58;
85;2.575;
86;2.57;
87;2.565;
88;2.56;
89;2.555;
90;2.55;
91;2.545;
92;2.54;
93;2.535;
94;2.53;
95;2.525;
96;2.52;
97;2.515;
98;2.51;
99;2.505;
100;2.5;
